year,black_coal,brown_coal,natural_gas,oil_products,other_a,bagasse_wood,biogas,wind,hydro,large_scale_solar_PV,small_scale_solar_PV
2009,67650.3,,2445.1,24.7,336.6,291.3,383.4,41.3,1497,,36.3
2010,64398.6,,4681.3,5.6,493.6,295.3,385.8,432.5,2689.5,,119.2
2011,60732.2,,4742.7,61.4,266.1,253.3,360,530.1,2474.9,,526.3
2012,60453.7,,4212.1,42.1,,413.6,408.7,697.6,2446.9,,657.7
2013,56798.6,,5168.7,190.9,,425.4,413.4,832.6,3298.1,,857.6
2014,55819.5,,5528.3,170.7,,461.7,420.6,899.2,2721.1,10.6,964.9
2015,52562.2,,4528.4,284.3,,551.1,472.1,1376,1771,60.2,1211.2
2016,55334.5,,4628.6,289.5,,601.7,444.6,1898.8,3170.2,399.5,1461.9
2017,55967.1,,3330.8,321.6,,696.5,406.2,1872,3290.6,567.6,1706.8
2018,57022.2,,3045.8,324.4,,765,424.4,2431.6,2915.5,700,2095.8
2019,57734.9,,2360.3,322.6,,758.8,418.8,3739.7,2160.3,1348.2,2717.1
2020,53566.7,,2870.9,337.3,,716.2,387.4,4574.3,2110.1,2084.6,3417.3
2021,50790.8,,1903.2,340.6,,686.1,411,4805.9,2964.2,3368,4892.9
