year,black_coal,brown_coal,natural_gas,oil_products,other_a,bagasse_wood,biogas,wind,hydro,large_scale_solar_PV,small_scale_solar_PV
2009,,,1873.40,1039.30,,,9.20,,,,0.50
2010,,,2132.50,1118.20,2.40,,9.20,,,,4.30
2011,,,2053.60,1022.50,0.50,,8.70,,,,5.60
2012,,,2109.30,1020.90,,,7.70,,,,9.70
2013,,,2269.00,1022.00,,,6.50,,,,16.90
2014,,,2308.90,1123.60,,,8.90,,,5.06,19.36
2015,,,2201.40,751.30,,,9.00,,,6.41,28.90
2016,,,2484.71,522.63,,,7.69,,,8.52,42.45
2017,,,2366.49,537.40,,,7.61,,,18.47,61.25
2018,,,2437.76,947.18,,,8.61,,,30.50,85.77
2019,,,3503.23,794.98,,,8.79,,,32.65,117.88
2020,,,4285.01,504.40,,,8.72,,,39.25,162.21
2021,,,4142.97,502.49,,,7.98,,,44.61,203.56
