year,black_coal,brown_coal,natural_gas,oil_products,other_a,bagasse_wood,biogas,wind,hydro,large_scale_solar_PV,small_scale_solar_PV
2009,,4887.40,7371.40,63.20,337.40,,86.10,2020.20,4.10,,23.40
2010,,4526.60,6937.00,163.90,335.40,,85.50,2029.00,4.20,,50.70
2011,,4231.60,6693.10,89.30,266.90,,77.80,2890.30,4.10,,182.80
2012,,3008.00,6703.20,97.80,,,70.60,3126.53,4.40,,398.10
2013,,2237.50,7060.90,141.00,8.50,,72.60,3313.50,5.90,,558.60
2014,,2098.50,5998.10,106.90,,,80.90,4150.34,5.90,1.39,677.94
2015,,2633.60,5003.85,197.30,,,84.90,4291.90,10.80,1.72,802.24
2016,,2593.68,4956.03,136.17,,,94.60,4398.02,6.48,2.00,895.45
2017,,,6028.20,183.12,,,78.02,4413.69,3.45,3.93,1000.83
2018,,,7753.20,132.84,,,73.95,5673.90,6.35,20.05,1163.37
2019,,,7245.80,163.03,,,85.01,5711.02,8.80,321.33,1402.51
2020,,,6614.01,159.40,,,97.45,5812.91,10.26,627.84,1717.58
2021,,,5588.96,126.73,,,94.60,5867.07,3.46,884.33,2128.18
