year,black_coal,brown_coal,natural_gas,oil_products,other_a,bagasse_wood,biogas,wind,hydro,large_scale_solar_PV,small_scale_solar_PV
2009,,,705.30,64.50,,,25.10,486.90,7313.60,,1.80
2010,,,1109.80,73.90,,,29.00,489.30,8307.20,,5.60
2011,,,1506.00,94.90,,,29.90,483.50,9451.50,,11.60
2012,,,1562.70,60.50,,,33.30,423.10,8515.50,,22.70
2013,,,1752.50,12.10,26.80,,33.00,477.50,10766.40,,53.30
2014,,,985.00,19.70,,,30.60,818.00,12072.60,0.04,73.52
2015,,,131.04,18.90,,,34.60,1055.10,8294.40,0.04,96.81
2016,,,858.03,90.26,,,27.25,1056.00,8204.30,0.04,108.46
2017,,,897.55,21.82,,,24.52,1104.78,8432.70,0.30,121.61
2018,,,980.37,24.30,,,24.06,1147.79,9428.91,0.56,138.93
2019,,,619.79,19.27,,,27.00,1147.20,9821.08,1.50,161.79
2020,,,196.63,20.68,,,30.88,1362.04,9878.33,2.75,187.17
2021,,,186.13,19.84,,,31.77,1815.26,8301.87,3.03,218.63
