year,black_coal,brown_coal,natural_gas,oil_products,other_a,bagasse_wood,biogas,wind,hydro,large_scale_solar_PV,small_scale_solar_PV
2009,,52094.00,1451.90,20.40,61.10,,292.00,573.00,2234.52,,24.10
2010,,51541.70,1697.90,1.10,115.90,,303.40,1406.00,1974.97,,66.20
2011,,51066.50,1289.80,38.20,114.50,,339.60,1434.40,3910.62,,205.50
2012,,52059.70,1142.50,4.00,,187.11,672.24,1416.20,2393.28,,378.70
2013,,45317.60,3247.70,10.70,,171.14,673.96,2005.10,3293.81,,580.10
2014,,43977.70,3239.30,145.80,,188.79,698.10,2771.90,2594.99,4.41,674.16
2015,,48336.80,2390.93,155.95,,251.98,420.26,3067.80,2513.61,9.07,874.83
2016,,46234.13,1892.24,70.57,,235.39,512.31,3341.83,3228.45,11.47,1056.13
2017,,43594.10,2658.74,109.28,,263.36,431.11,3560.85,3673.26,13.80,1231.72
2018,,36021.43,3829.89,178.02,,241.01,460.19,4303.85,2803.11,39.44,1481.19
2019,,34495.25,3334.03,204.66,,235.47,497.64,4863.70,2702.80,462.47,1899.95
2020,,33661.55,3117.04,201.97,,243.80,535.73,5596.25,2310.84,872.46,2457.27
2021,,34060.03,1956.92,179.07,,229.67,499.30,7080.62,2851.96,1455.53,3176.38
