year,black_coal,brown_coal,natural_gas,oil_products,other_a,bagasse_wood,biogas,wind,hydro,large_scale_solar_PV,small_scale_solar_PV
2009,8738.00,,14556.10,1464.40,2153.00,,119.60,675.10,,,18.70
2010,9612.20,,16006.30,1373.40,1017.80,,121.20,664.00,,,57.50
2011,10352.30,,18115.70,1413.80,1029.40,,111.70,719.30,,,198.10
2012,10783.30,,17538.30,1171.20,1072.40,,125.70,1278.70,,,331.40
2013,10276.90,,17645.10,2045.00,1855.80,,108.30,1300.20,221.30,,449.50
2014,10885.30,,20880.00,2486.10,,,124.00,1578.80,205.40,24.14,495.85
2015,10523.40,,20412.80,4223.50,,,126.90,1643.20,206.10,23.88,622.13
2016,10912.69,,21899.57,3347.39,,,94.55,1476.46,217.03,28.35,760.77
2017,11226.16,,22941.40,2883.48,,,183.22,1616.68,212.62,34.26,941.13
2018,11031.87,,24789.09,2166.51,,,141.11,1586.99,220.79,45.61,1196.43
2019,9953.96,,25778.31,2417.86,,,131.34,1851.15,217.01,74.52,1486.69
2020,9725.24,,26918.55,2301.72,,,112.44,2122.54,205.53,174.72,1835.29
2021,9212.41,,25680.33,2458.26,,,110.79,3140.46,127.96,486.59,2298.47
