Period,Coal,Oil,Gas,Renewables
1974–75, 981.1,1 327.7, 189.2, 204.0
1975–76, 981.2,1 339.7, 211.2, 206.2
1976–77,1 047.7,1 410.6, 256.2, 199.3
1977–78,1 070.4,1 438.3, 283.0, 201.2
1978–79,1 103.0,1 440.9, 314.9, 199.6
1979–80,1 168.9,1 411.6, 362.6, 193.6
1980–81,1 169.4,1 358.6, 416.0, 206.0
1981–82,1 229.2,1 339.0, 462.0, 210.7
1982–83,1 194.9,1 262.7, 466.2, 203.5
1983–84,1 228.3,1 306.7, 490.0, 200.9
1984–85,1 334.2,1 306.6, 523.3, 212.9
1985–86,1 316.4,1 304.9, 570.7, 214.9
1986–87,1 401.5,1 315.8, 588.4, 214.5
1987–88,1 430.7,1 369.3, 610.5, 218.4
1988–89,1 548.4,1 433.2, 627.8, 228.7
1989–90,1 576.1,1 452.7, 688.1, 233.0
1990–91,1 623.2,1 440.9, 655.4, 236.3
1991–92,1 640.3,1 444.5, 678.6, 221.9
1992–93,1 642.6,1 491.7, 707.0, 243.8
1993–94,1 661.4,1 532.5, 736.8, 252.3
1994–95,1 710.1,1 606.3, 793.1, 258.8
1995–96,1 775.9,1 663.9, 797.0, 267.2
1996–97,1 852.6,1 660.6, 818.4, 280.1
1997–98,1 959.5,1 680.1, 859.3, 278.2
1998–99,2 022.7,1 698.2, 887.4, 278.3
1999–00,2 052.5,1 722.9, 921.5, 274.1
2000–01,2 081.5,1 701.5, 959.9, 268.9
2001–02,2 127.8,1 750.0, 974.7, 244.5
2002–03,2 118.7,1 801.9, 942.1, 276.5
2003–04,2 221.7,1 810.5, 974.0, 279.1
2004–05,2 254.5,1 869.0, 996.4, 280.2
2005–06,2 292.7,1 969.7,1 000.9, 284.5
2006–07,2 316.6,1 988.3,1 131.9, 288.3
2007–08,2 300.2,1 981.8,1 168.7, 286.4
2008–09,2 351.0,2 000.3,1 252.9, 239.9
2009–10,2 224.8,2 057.8,1 257.8, 282.6
2010–11,2 123.9,2 211.6,1 274.2, 294.6
2011–12,2 074.7,2 183.8,1 338.5, 293.8
2012–13,1 930.9,2 276.2,1 376.5, 333.5
2013–14,1 845.8,2 293.9,1 407.2, 344.2
2014–15,1 907.2,2 233.8,1 420.0, 347.7
2015–16,1 954.9,2 276.7,1 464.4, 360.2
2016–17,1 930.0,2 315.1,1 496.7, 379.1
2017–18,1 847.3,2 400.3,1 557.3, 382.5
2018–19,1 801.6,2 407.3,1 586.5, 400.2
2019–20,1 706.6,2 241.2,1 647.2, 418.8
